,,,,,,,,,,,,FY 2015 3-YEAR COHORT DEFAULT RATES,,,
2942,LIVINGSTONE COLLEGE                                              ,701 WEST MONROE STREET                            ,SALISBURY           ,NC,NORTH CAROLINA                                              ,28144,5298,6,Bachelor's Degree,2,Nonprofit,2015,169,587,28.7
2943,LOUISBURG COLLEGE                                                ,501 NORTH MAIN STREET                             ,LOUISBURG           ,NC,NORTH CAROLINA                                              ,27549,2398,5,Associate's Degree,2,Nonprofit,2015,129,460,28
2944,MARS HILL UNIVERSITY                                             ,124 CASCADE STREET                                ,MARS HILL           ,NC,NORTH CAROLINA                                              ,28754,0,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,78,514,15.1
2945,MEREDITH COLLEGE                                                 ,3800 HILLSBOROUGH STREET                          ,RALEIGH             ,NC,NORTH CAROLINA                                              ,27607,5298,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,27,518,5.2
2946,METHODIST UNIVERSITY                                             ,5400 RAMSEY STREET                                ,FAYETTEVILLE        ,NC,NORTH CAROLINA                                              ,28311,1420,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,65,733,8.8
2948,MONTREAT COLLEGE                                                 ,310 GAITHER CIRCLE                                ,MONTREAT            ,NC,NORTH CAROLINA                                              ,28757,1267,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,31,306,10.1
2949,UNIVERSITY OF MOUNT OLIVE                                        ,634 HENDERSON STREET                              ,MOUNT OLIVE         ,NC,NORTH CAROLINA                                              ,28365,1299,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,113,1237,9.1
2950,NORTH CAROLINA CENTRAL UNIVERSITY                                ,1801 FAYETTEVILLE STREET                          ,DURHAM              ,NC,NORTH CAROLINA                                              ,27707,3198,8,Master's Degree or Doctor's Degree,1,Public,2015,222,2652,8.3
2951,NORTH CAROLINA WESLEYAN COLLEGE                                  ,3400 NORTH WESLEYAN BOULEVARD                     ,ROCKY MOUNT         ,NC,NORTH CAROLINA                                              ,27804,8699,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,114,718,15.8
2953,WILLIAM PEACE UNIVERSITY                                         ,15 EAST PEACE STREET                              ,RALEIGH             ,NC,NORTH CAROLINA                                              ,27604,1194,6,Bachelor's Degree,2,Nonprofit,2015,36,392,9.1
2954,UNIVERSITY OF NORTH CAROLINA AT PEMBROKE                         ,ONE UNIVERSITY DRIVE                              ,PEMBROKE            ,NC,NORTH CAROLINA                                              ,28372,1510,8,Master's Degree or Doctor's Degree,1,Public,2015,166,1923,8.6
2955,PFEIFFER UNIVERSITY                                              ,48380 US 502 HIGHWAY NORTH                        ,MISENHEIMER         ,NC,NORTH CAROLINA                                              ,28109,0,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,48,641,7.4
2956,PIEDMONT INTERNATIONAL UNIVERSITY                                ,420 S. BROAD STREET                               ,WINSTON SALEM       ,NC,NORTH CAROLINA                                              ,27101,5025,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,51,377,13.5
2957,QUEENS UNIVERSITY OF CHARLOTTE                                   ,1900 SELWYN AVENUE                                ,CHARLOTTE           ,NC,NORTH CAROLINA                                              ,28274,1,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,34,665,5.1
2960,SALEM COLLEGE                                                    ,601 SOUTH CHURCH STREET                           ,WINSTON-SALEM       ,NC,NORTH CAROLINA                                              ,27101,5376,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,20,369,5.4
2961,SANDHILLS COMMUNITY COLLEGE                                      ,3395 AIRPORT ROAD                                 ,PINEHURST           ,NC,NORTH CAROLINA                                              ,28374,8283,5,Associate's Degree,1,Public,2015,1,21,4.7
2962,SHAW UNIVERSITY                                                  ,118 EAST SOUTH STREET                             ,RALEIGH             ,NC,NORTH CAROLINA                                              ,27601,2393,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,202,1030,19.6
2964,SOUTHEASTERN COMMUNITY COLLEGE                                   ,4564 CHADBOURN HIGHWAY                            ,WHITEVILLE          ,NC,NORTH CAROLINA                                              ,28472,5422,5,Associate's Degree,1,Public,2015,22,131,16.7
2968,SAINT AUGUSTINE'S UNIVERSITY                                     ,1315 OAKWOOD AVENUE                               ,RALEIGH             ,NC,NORTH CAROLINA                                              ,27610,2298,6,Bachelor's Degree,2,Nonprofit,2015,141,598,23.5
2970,SURRY COMMUNITY COLLEGE                                          ,630 SOUTH MAIN STREET                             ,DOBSON              ,NC,NORTH CAROLINA                                              ,27017,304,5,Associate's Degree,1,Public,2015,7,67,10.4
2972,NORTH CAROLINA STATE UNIVERSITY                                  ,20 WATAUGA CLUB DRIVE              CAMPUS BOX 7001,RALEIGH             ,NC,NORTH CAROLINA                                              ,27695,7001,8,Master's Degree or Doctor's Degree,1,Public,2015,149,5193,2.8
2973,GASTON COLLEGE                                                   ,201 HIGHWAY 321 SOUTH                             ,DALLAS              ,NC,NORTH CAROLINA                                              ,28034,1499,5,Associate's Degree,1,Public,2015,0,5,0
2974,UNIVERSITY OF NORTH CAROLINA - CHAPEL HILL                       ,102 SOUTH BUILDING                                ,CHAPEL HILL         ,NC,NORTH CAROLINA                                              ,27599,9100,8,Master's Degree or Doctor's Degree,1,Public,2015,66,4176,1.5
2975,UNIVERSITY OF NORTH CAROLINA - CHARLOTTE                         ,9201 UNIVERSITY CITY BOULEVARD                    ,CHARLOTTE           ,NC,NORTH CAROLINA                                              ,28223,1,8,Master's Degree or Doctor's Degree,1,Public,2015,365,6319,5.7
2976,UNIVERSITY OF NORTH CAROLINA -GREENSBORO                         ,1000 SPRING GARDEN STREET                         ,GREENSBORO          ,NC,NORTH CAROLINA                                              ,27412,1,8,Master's Degree or Doctor's Degree,1,Public,2015,256,4254,6
2978,WAKE FOREST UNIVERSITY                                           ,1834 WAKE FOREST ROAD                             ,WINSTON-SALEM       ,NC,NORTH CAROLINA                                              ,27109,7246,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,20,1277,1.5
2979,WARREN WILSON COLLEGE                                            ,701 WARREN WILSON ROAD                            ,SWANNANOA           ,NC,NORTH CAROLINA                                              ,28778,2099,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,10,232,4.3
2980,WAYNE COMMUNITY COLLEGE                                          ,3000 WAYNE MEMORIAL DRIVE                         ,GOLDSBORO           ,NC,NORTH CAROLINA                                              ,27533,8002,5,Associate's Degree,1,Public,2015,145,656,22.1
2981,WESTERN CAROLINA UNIVERSITY                                      ,HIGHWAY 107                                       ,CULLOWHEE           ,NC,NORTH CAROLINA                                              ,28723,9731,8,Master's Degree or Doctor's Degree,1,Public,2015,146,2408,6
2982,WESTERN PIEDMONT COMMUNITY COLLEGE                               ,1001 BURKEMONT AVENUE                             ,MORGANTON           ,NC,NORTH CAROLINA                                              ,28655,4504,5,Associate's Degree,1,Public,2015,28,155,18
2983,WILKES COMMUNITY COLLEGE                                         ,1328 SOUTH COLLEGIATE DRIVE                       ,WILKESBORO          ,NC,NORTH CAROLINA                                              ,28697,2100,5,Associate's Degree,1,Public,2015,52,261,19.9
2984,UNIVERSITY OF NORTH CAROLINA AT WILMINGTON (THE)                 ,601 SOUTH COLLEGE ROAD                            ,WILMINGTON          ,NC,NORTH CAROLINA                                              ,28403,3297,8,Master's Degree or Doctor's Degree,1,Public,2015,106,2992,3.5
2985,WINGATE UNIVERSITY                                               ,315 EAST WILSON STREET                            ,WINGATE             ,NC,NORTH CAROLINA                                              ,28174,159,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,30,708,4.2
2986,WINSTON-SALEM STATE UNIVERSITY                                   ,"601 MARTIN L. KING, JR. DRIVE                     ",WINSTON-SALEM       ,NC,NORTH CAROLINA                                              ,27110,1,8,Master's Degree or Doctor's Degree,1,Public,2015,230,1803,12.7
2988,BISMARCK STATE COLLEGE                                           ,1500 EDWARDS AVENUE                               ,BISMARCK            ,ND,NORTH DAKOTA                                                ,58501,1299,6,Bachelor's Degree,1,Public,2015,75,1143,6.5
2989,DICKINSON STATE UNIVERSITY                                       ,291 CAMPUS DRIVE                                  ,DICKINSON           ,ND,NORTH DAKOTA                                                ,58601,4896,8,Master's Degree or Doctor's Degree,1,Public,2015,30,425,7
2990,UNIVERSITY OF JAMESTOWN                                          ,6080 COLLEGE LANE                                 ,JAMESTOWN           ,ND,NORTH DAKOTA                                                ,58405,3401,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,11,271,4
2991,LAKE REGION STATE COLLEGE                                        ,1801 COLLEGE DRIVE NORTH                          ,DEVILS LAKE         ,ND,NORTH DAKOTA                                                ,58301,1598,5,Associate's Degree,1,Public,2015,34,295,11.5
2992,UNIVERSITY OF MARY                                               ,7500 UNIVERSITY DRIVE                             ,BISMARCK            ,ND,NORTH DAKOTA                                                ,58504,9652,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,33,917,3.5
